row_id,foa_id,title,agency,category,concept_id,concept_label,concept_description,text_snippet,relevant_yes_no
1,f0832ae2-7bcf-468e-931d-b08001bd5cd1,Division of Environmental Biology (core programs) (DEB),NSF,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","DEB encourages research that elucidates fundamental principles that identify and explain the unity and diversity of life and its interactions with the environment over space and time. Research may incorporate field, laboratory, or collection-based approaches; observational or manipulative studies; synthesis activities; phylogenetic discovery projects; or theoretical approaches involving analytical, statistical, or computational modeling. Proposals should be submitted to the core clusters ( Ecosystem Science , Evolutionary Processes , Population and Community Ecology , and Systematics and Biodiversity Science ).",no
2,f5128ecb-e53d-499c-8381-a0a4c88069c8,Bioinnovation and Infrastructure (BI),NSF,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","Bioinnovation and Infrastructure (BI) Biological Sciences Thematic Area Synopsis In association with the Core Research in Biological Sciences funding opportunity, the Bioinnovation and Infrastructure thematic area emphasizes hypothesis-driven research and new technological approaches that will transform our understanding at all levels of biological organization. Research projects may focus on hypothesis-driven and discovery-based omics-scale studies that examine: Relationships among biological structure, function, and environment.",yes
3,f5128ecb-e53d-499c-8381-a0a4c88069c8,Bioinnovation and Infrastructure (BI),NSF,method,method_22,Network Analysis,"Research analysing relational structure between entities: social network analysis, graph-theoretic methods, network topology and centrality, and modelling of connections among people, organisations, or biological units.","Connections of molecular- and cellular-level characteristics to patterns observed in organisms, populations, and ecosystems. Research may also address technology development to improve or create innovative shared resources that expand and potentially transform research capacity for broad scientific communities, including but not limited to instrumentation, research methods, computational algorithms and pipelines, and analytical strategies. Proposals may use a range of approaches, including artificial intelligence and machine learning.",no
4,cb58e935-225b-4c7c-9825-e0b8774cbe5a,Interdisciplinary Research to Understand the Complex Biology of Resilience to Alzheimerâs and Related Dementias Disease Risk,HHS-NIH11,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","The goal of this NOFO is to build a robust program that integrates epidemiologic, genomic, and mechanistic research through the use of data driven, systems-based approaches (including the use of artificial intelligence and/or machine learning methods) to discover the molecular/cellular determinants of resilience to AD/ADRD risk across representative populations. The initiative will support the generation of high-dimensional molecular data from brain and peripheral tissues, including longitudinal data, to enable dynamic modeling of resilience mechanisms and to discover molecular predictors of resilience. Applications are not being solicited at this time.",yes
5,cb58e935-225b-4c7c-9825-e0b8774cbe5a,Interdisciplinary Research to Understand the Complex Biology of Resilience to Alzheimerâs and Related Dementias Disease Risk,HHS-NIH11,population,pop_05,Older Adults,"Research that studies, serves, or is designed to benefit elderly people, seniors, aging populations, and geriatric patients. Covers aging processes, age-related disease, dementia and cognitive decline, retirement, long-term care, and later-life wellbeing.",This NOFO intends to utilize the U01 activity code. Investigators with expertise and insights into this area of aging research are encouraged to begin to consider applying for this new NOFO. Other Eligible ApplicantsIndian/Native American Tribal Governments (Other than Federally Recognized);Eligible Agencies of the Federal Government;U.S. Territory or Possession;Faith-based or Community-based Organizations;Regional Organizations;Non-domestic (non-U.S.) Entities (Foreign Institutions).,yes
6,a5c4068a-e830-45df-afe2-d6ce3cb704c7,English Access Microscholarship Program for Central and Southern Iraq,DOS-IRQ,population,pop_03,Low-Income Populations,"Research that studies, serves, or is designed to benefit economically disadvantaged people: households below the poverty line, low-income families, people experiencing financial hardship, welfare and safety-net recipients, and underserved communities defined by economic status. Covers poverty, income inequality, economic mobility, and material deprivation as they affect people.","English language skills are an important tool for Iraqi youth seeking access to higher education, employment, exchange programs, and broader engagement with the global community. â US and foreign not-for-profit organizations, including think tanks and civil society/non-governmental organizations â Public and private educational institutions â Public International Organizations and Governmental institutions. â Have demonstrated experience developing and administering similar programs.",no
7,a5c4068a-e830-45df-afe2-d6ce3cb704c7,English Access Microscholarship Program for Central and Southern Iraq,DOS-IRQ,population,pop_11,Immigrants and Refugees,"Research that studies, serves, or is designed to benefit foreign-born populations: immigrants, migrants, refugees, asylum seekers, displaced people, and undocumented residents. Covers migration, resettlement, acculturation, immigrant health, and language access.","English language skills are an important tool for Iraqi youth seeking access to higher education, employment, exchange programs, and broader engagement with the global community. â US and foreign not-for-profit organizations, including think tanks and civil society/non-governmental organizations â Public and private educational institutions â Public International Organizations and Governmental institutions. â Have demonstrated experience developing and administering similar programs.",no
8,12a94cb4-f244-4153-90d8-e835d73f17c4,"Artificial Intelligence, Formal Methods, and Mathematical Reasoning (AIMing)",NSF,method,method_02,Deep Learning,"Research that uses or develops deep neural networks: multi-layer architectures, convolutional and recurrent networks, transformers, foundation models, and representation learning. A specialisation of machine learning distinguished by learned hierarchical representations.","Recent technological advances have led to a surge of interest in machine-assisted mathematical reasoning from the mathematical sciences, formal methods, and AI communities. In turn, advances in this field have potential impact on research in AI. Updates and announcements Slides from the April 11 Artificial Intelligence, Formal Methods, and Mathematical Reasoning webinar April 22, 2024 View more updates Program contacts Name Email Phone Organization Stacey Levine Program Director, MPS/DMS aiming@nsf.gov (703) 292-2948 MPS/DMS Tomek Bartoszynski Program Director, MPS/DMS aiming@nsf.gov (703) 292-4885 MPS/DMS Alfred Hero Program Director, CISE/CCF aiming@nsf.gov (703) 292-8910 CISE/CCF Vladimir Pavlovic Program Director, CISE/IIS aiming@nsf.gov (703) 292-8318 CISE/IIS Program events Past November 19, 2024 - Artificial Intelligence, Formal Methods, and Mathematicalâ¦ May 13, 2024 - AIMing Virtual Office Hour Awards made through this program Browse projects funded by this program Map of recent awards made through this program Organization(s) Directorate for Mathematical and Physical Sciences (MPS) Division of Mathematical Sciences (MPS/DMS) Directorate for Computer and Information Science and Engineering (CISE) Division of Computing and Communication Foundations (CISE/CCF) Division of Information and Intelligent Systems (CISE/IIS) Program guidelines Award information Up to $6,000,000 per year is expected for new awards, subject to availability of funds and receipt of meritorious proposals.",no
9,12a94cb4-f244-4153-90d8-e835d73f17c4,"Artificial Intelligence, Formal Methods, and Mathematical Reasoning (AIMing)",NSF,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.",Please see solicitation for details. Limit on number of proposals per PI or Co-PI 1 Limit on number of proposals per PI or co-PI description - A Principal Investigator (PI) or co-Principal Investigator (co-PI) can be part of no more than one proposal per deadline in response to this solicitation Review full program guidelines and learn how to submit a proposal in the latest solicitation. Read the solicitation NSF 24-554 Share Share on Facebook Share on X (formerly known as Twitter) Share on LinkedIn Email,no
10,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,method,method_06,Survey Research,"Research collecting original data through questionnaires, structured interviews, polls, or survey instruments administered to a sample of respondents. Covers survey design, sampling frames, panel surveys, and self-reported measurement of attitudes, behaviours, or conditions.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
